url,type,text,imgs,author,time,location
https://www.douban.com/group/topic/298143799/,正文,,https://img1.doubanio.com/view/group_topic/l/public/p633301010.webp,mako酱,2023-11-22 20:55:02,四川
https://www.douban.com/group/topic/298143799/,评论,肉丸是自己做的吗？,,楚凡,2023-11-22 22:41:57,北京
https://www.douban.com/group/topic/298143799/,评论,四川吃这么清淡？？,,Judy 物质女生,2023-11-22 23:57:53,波兰
https://www.douban.com/group/topic/298143799/,评论,这就是四川的家常菜,,你球姐姐姐,2023-11-23 08:57:28,四川
https://www.douban.com/group/topic/298143799/,评论,洗碗呢,,互联网母驴厶拉,2023-11-23 09:34:56,福建
https://www.douban.com/group/topic/298143799/,评论,是自己做呢,,mako酱,2023-11-23 18:05:02,四川
https://www.douban.com/group/topic/298143799/,评论,自己洗呗😂,,mako酱,2023-11-23 18:05:13,四川
https://www.douban.com/group/topic/298143799/,评论,好厉害啊！看起来好好吃！做起来麻烦吗🥺不麻烦的话我也想试试,,楚凡,2023-11-23 18:07:32,北京
https://www.douban.com/group/topic/298143799/,评论,不麻烦哟 肉糜里面加淀粉鸡蛋生抽姜末一点点水一直搅拌就可以了 然后用勺子弄成肉丸下锅煮,,mako酱,2023-11-23 18:47:47,四川
https://www.douban.com/group/topic/298143799/,评论,好的！！谢谢啦🤩🤩🤩,,楚凡,2023-11-23 19:01:25,北京
https://www.douban.com/group/topic/298143799/,评论,+1自己做饭永远都是自己喜欢的菜和口味,,桔子,2023-11-24 08:21:06,广东
https://www.douban.com/group/topic/298143799/,评论,啊啊啊啊啊看着要香迷糊了,,好名字,2023-11-24 08:34:53,江苏
https://www.douban.com/group/topic/298143799/,评论,看着就很棒！,,Chuck,2023-11-24 08:47:55,湖北
https://www.douban.com/group/topic/298143799/,评论,红色的是茄子吗？请问怎么做的，看着好好吃,,momo,2023-11-24 08:53:49,福建
https://www.douban.com/group/topic/298143799/,评论,👍🏻,,豆友225038100,2023-11-24 09:03:57,四川
https://www.douban.com/group/topic/298143799/,评论,隔着屏幕都闻到了香味😋,,momo,2023-11-24 10:56:04,福建
https://www.douban.com/group/topic/298143799/,评论,看起来很好吃😋,,豆芽,2023-11-24 10:56:48,山西
https://www.douban.com/group/topic/298143799/,评论,排骨怎么做的啊,,橙安静了,2023-11-24 10:57:29,天津
https://www.douban.com/group/topic/298143799/,评论,哈哈哈，你是如何把茄子看成排骨的😝,,夏天的雨,2023-11-24 15:49:50,湖北
https://www.douban.com/group/topic/298143799/,评论,这个豌豆尖就是我们四川人的最爱，不晓得为啥子武汉人不吃😅,,夏天的雨,2023-11-24 15:50:39,湖北
https://www.douban.com/group/topic/298143799/,评论,啊？我没仔细看，我以为是排骨😂你做的好好,,橙安静了,2023-11-24 16:24:22,天津
