url,type,text,imgs,author,time,location
https://www.douban.com/group/topic/297872953/,正文,,https://img2.doubanio.com/view/group_topic/l/public/p632662521.webp,无名,2023-11-17 01:24:37,北京
https://www.douban.com/group/topic/297872953/,评论,🐎🐎🐎🐎🐎🐎🐎🐎🐎🐎🐎,,你那杯13,2023-11-17 08:31:48,北京
https://www.douban.com/group/topic/297872953/,评论,不需要炖吗？会嫩吗？,,Lpure,2023-11-17 10:29:52,广东
https://www.douban.com/group/topic/297872953/,评论,羊排啥价啊,,123laaa,2023-11-17 10:44:43,广东
https://www.douban.com/group/topic/297872953/,评论,"需要的呀，看第5步。
如果有羊腱切块的话，建议小火慢炖2小时以上。",,无名,2023-11-17 10:47:27,北京
https://www.douban.com/group/topic/297872953/,评论,"鲜的贵一些，北京这边需要45左右，冷冻的可以上叮咚或者美团买菜，都还可以。
冷冻的尤其要注意泡血水这个环节，泡起码3-4个小时，再反复清洗下。

肉类不好的味道主要是来自于血液，清真的牛羊肉因为屠宰方式，血会放的更干净，所以味道会好一些。",,无名,2023-11-17 10:52:46,北京
https://www.douban.com/group/topic/297872953/,评论,学到了 谢谢楼主 准备试试,,主动降低期望值,2023-11-17 11:13:54,重庆
https://www.douban.com/group/topic/297872953/,评论,周末安排起来,,无关风月,2023-11-17 11:14:56,河南
https://www.douban.com/group/topic/297872953/,评论,老饭骨🤝🤝🤝🤝,,小满,2023-11-17 11:45:31,福建
https://www.douban.com/group/topic/297872953/,评论,谢谢分享！,,加菲女友,2023-11-17 11:50:06,加拿大
https://www.douban.com/group/topic/297872953/,评论,啊，这个我需要，果断收藏。,,大手抱小手,2023-11-17 12:08:59,北京
https://www.douban.com/group/topic/297872953/,评论,凉水砸的作用是啥啊,,弃,2023-11-17 13:06:52,上海
https://www.douban.com/group/topic/297872953/,评论,快快收藏,,十一月的梨,2023-11-17 13:58:02,湖南
https://www.douban.com/group/topic/297872953/,评论,"我猜是补水，和冷水砸下去，在烧开，是为了去沫沫

我看有个探寻美食的纪录片里说，西北煮牛羊肉有一个步骤是把最后一遍泡的血水，倒回锅中煮，这样锅里的所有的沫沫会聚集在一起，然后在撇干净，那些沫沫是肉里血水残留的蛋白质，感觉砸冷水和这个可能是差不多的，我试过把最后一遍泡的血水倒回去煮，感觉是有些效果吧",,梦里有只猫,2023-11-17 17:05:29,江苏
https://www.douban.com/group/topic/297872953/,评论,我理解的最后一遍血水下去，其实是把本来撇过沫沫的汤里剩下的那点点沫沫聚在一起，方便撇沫，至于是不是我也不确定呢,,梦里有只猫,2023-11-17 17:10:22,江苏
https://www.douban.com/group/topic/297872953/,评论,对的，主要是为了把血沫去干净，因为羊肉块降温在烧开这个过程，内部的血沫会再出来一些，二就是补水。砸一次潎一次之后，汤就会清一些，三次下来汤就会很清亮了。另外，如果羊排比较肥，都做好了最后撇一下表面的油，在喝汤。,,无名,2023-11-17 19:44:40,北京
https://www.douban.com/group/topic/297872953/,评论,"炖白汤的羊蝎子也可以这么做。这么做香料的味道几乎没有，都是羊肉自身的鲜香。三种蔬菜主要是去膻，而三白起到了增鲜的作用。
很早以前双榆树那有个四合院羊蝎子，他家的白汤羊蝎子就非常好吃。",,无名,2023-11-17 19:47:06,北京
https://www.douban.com/group/topic/297872953/,评论,我需要尽量少油，所以先用清水把羊排煮一煮再换清水这样炖行吗？,,大手抱小手,2023-11-17 21:38:18,北京
https://www.douban.com/group/topic/297872953/,评论,这样很可能会损失羊肉的鲜味与肉香。因为油都浮在最上面，可以做好后改成最小火，然后把汤最上面的油潎出来。,,无名,2023-11-17 21:56:45,北京
https://www.douban.com/group/topic/297872953/,评论,恩，有道理，回头我试试哈,,大手抱小手,2023-11-17 22:08:05,北京
https://www.douban.com/group/topic/297872953/,评论,还有爷俩儿好菜和段小段😀,,无名,2023-11-18 15:41:09,北京
https://www.douban.com/group/topic/297872953/,评论,🐴🐴🐴,,冰激凌流泪,2023-11-18 16:32:55,山东
https://www.douban.com/group/topic/297872953/,评论,好咧，那的去看看,,小满,2023-11-18 22:45:08,福建
https://www.douban.com/group/topic/297872953/,评论,👍👍👍,,豆芽,2023-11-19 00:31:47,山西
https://www.douban.com/group/topic/297872953/,评论,今天买的羊肋排，超市特价32一斤，平时要42（最便宜的）。羊腩33，普通羊肉29.9,,momo,2023-11-19 18:11:29,广东
